City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,opuwo,-18.0607,13.84,75.16,14,0,11.01,NA,1718294569
258,arraial do cabo,-22.9661,-42.0278,84.06,42,0,17.27,BR,1718294569
259,malabar,-33.9667,151.25,53.13,74,96,6.91,AU,1718294569
260,nishinoomote,30.7333,131.0,75.63,87,57,10.58,JP,1718294569
261,lib,8.3122,167.3766,82.6,81,100,22.66,MH,1718294569
262,bria,6.5423,21.9863,84.24,63,59,2.37,CF,1718294569
263,west island,-12.1568,96.8225,78.78,94,40,14.97,CC,1718294569
264,richmond,37.5538,-77.4603,87.24,63,0,6.91,US,1718294542
265,mikuni,36.2171,136.1519,69.71,84,39,4.65,JP,1718294569
266,klaksvik,62.2266,-6.589,50.92,80,92,20.2,FO,1718294569
267,narvik,68.4384,17.4272,65.37,69,95,8.93,NO,1718294482
268,taungoo,18.9333,96.4333,76.59,94,100,5.95,MM,1718294570
269,puerto cabezas,14.0351,-83.3888,89.56,74,40,4.61,NI,1718294570
270,dakhla,23.6848,-15.958,75.22,60,4,28.77,EH,1718294570
271,cabedelo,-6.9811,-34.8339,86.67,76,100,14.12,BR,1718294451
272,hopelchen,19.7667,-89.85,90.0,55,100,2.35,MX,1718294570
273,berezovyy,51.6667,135.7,42.94,96,58,2.48,RU,1718294570
274,lihue,21.9789,-159.3672,70.45,79,3,10.25,US,1718294451
275,patterson,37.4716,-121.1297,71.02,67,6,1.72,US,1718294399
276,rioblanco,3.5308,-75.6806,69.76,66,62,4.29,CO,1718294571
277,inarajan village,13.2736,144.7484,80.74,93,77,14.9,GU,1718294571
278,kharp,66.8014,65.8081,64.71,87,99,7.61,RU,1718294571
279,maintirano,-18.0667,44.0167,76.05,69,5,11.9,MG,1718294571
280,nchelenge,-9.3451,28.734,72.48,55,12,3.29,ZM,1718294571
281,alice springs,-23.7,133.8833,49.55,81,0,4.61,AU,1718294571
282,faaborg,55.0951,10.2423,55.4,73,97,14.63,DK,1718294571
283,cody,44.5263,-109.0565,71.2,24,0,5.99,US,1718294571
284,tomatlan,19.9333,-105.25,89.22,48,93,4.38,MX,1718294571
285,saldanha,-33.0117,17.9442,68.05,82,4,9.62,ZA,1718294571
286,chapadinha,-3.7417,-43.3603,92.5,44,16,5.06,BR,1718294562
287,kingscliff,-28.2667,153.5667,48.76,100,30,1.14,AU,1718294572
288,parauapebas,-6.0675,-49.9022,87.78,54,0,9.22,BR,1718294469
289,novodvinsk,64.4165,40.8122,73.15,60,100,6.33,RU,1718294572
290,shache,38.4167,77.2406,81.97,21,91,15.17,CN,1718294572
291,magadan,59.5667,150.8,52.54,88,7,0.43,RU,1718294572
292,khamis mushait,18.3064,42.7292,81.21,39,40,11.5,SA,1718294572
293,daru,-9.0763,143.2092,76.41,86,100,12.77,PG,1718294572
294,myshkin,57.7897,38.4545,63.09,93,100,12.77,RU,1718294573
295,mossel bay,-34.1831,22.146,60.73,82,14,6.91,ZA,1718294573
296,cochin,9.9399,76.2602,82.38,80,100,6.55,IN,1718294573
297,nadym,65.5333,72.5167,70.97,61,94,9.06,RU,1718294573
298,zhangye,38.9342,100.4517,73.9,32,85,11.9,CN,1718294573
299,qaqortoq,60.7167,-46.0333,43.43,67,0,2.26,GL,1718294573
300,puerto leguizamo,-0.1934,-74.7819,72.99,98,98,2.73,CO,1718294573
301,vilyuchinsk,52.9306,158.4028,47.93,99,100,9.6,RU,1718294573
302,mount pleasant,32.7941,-79.8626,86.2,82,75,14.97,US,1718294539
303,timbuktu,16.7735,-3.0074,94.5,36,99,36.86,ML,1718294574
304,tyukhtet,56.5389,89.3011,62.6,73,13,1.7,RU,1718294574
305,funafuti,-8.5243,179.1942,82.4,89,75,0.0,TV,1718294574
306,vadso,70.0744,29.7487,47.28,81,40,14.97,NO,1718294574
307,mahajanga,-15.7167,46.3167,78.82,73,20,6.91,MG,1718294574
308,tafresh,34.692,50.013,71.94,38,91,5.17,IR,1718294574
309,sabang,5.8933,95.3214,85.55,75,43,14.63,ID,1718294574
310,vikulovo,56.8167,70.6107,67.32,95,76,3.2,RU,1718294574
311,enewetak,11.3474,162.3373,82.54,80,100,21.07,MH,1718294575
312,portland,45.5234,-122.6762,61.41,69,46,1.99,US,1718294404
313,abu ghurayb,33.3083,44.185,109.35,10,0,11.5,IQ,1718294575
314,borkum,53.5809,6.6915,63.95,69,100,10.54,DE,1718294575
315,tyukalinsk,55.8732,72.1967,64.87,92,97,6.42,RU,1718294596
316,cholpon-ata,42.6494,77.0823,57.25,74,29,4.16,KG,1718294596
317,port blair,11.6667,92.75,82.44,89,40,5.75,IN,1718294394
318,rio preto da eva,-2.6994,-59.6997,90.73,54,3,3.87,BR,1718294596
319,macas,-2.3167,-78.1167,71.35,88,75,2.3,EC,1718294412
320,lewistown,40.5992,-77.5714,83.53,73,100,4.61,US,1718294297
321,princeville,45.7668,-61.2985,74.61,70,0,11.01,CA,1718294522
322,mafra,-26.1114,-49.8053,75.81,36,11,7.11,BR,1718294597
323,ceres,37.5949,-120.9577,75.22,64,3,2.68,US,1718294444
324,kathmandu,27.7167,85.3167,80.82,69,40,4.61,NP,1718294372
325,queenstown,-31.8976,26.8753,52.12,40,0,2.28,ZA,1718294597
326,yakymivka,46.6897,35.1536,83.55,32,10,4.25,UA,1718294597
327,vysokiy,58.35,60.05,71.89,73,77,5.55,RU,1718294597
328,lekeitio,43.3666,-2.5007,81.54,52,91,8.57,ES,1718294597
329,sassandra,4.95,-6.0833,79.2,87,45,8.99,CI,1718294598
330,dzhetygara,52.1908,61.2006,79.09,50,73,8.28,KZ,1718294598
331,luba,3.4568,8.5547,85.89,84,44,9.4,GQ,1718294598
332,camana,-16.6228,-72.7111,67.32,71,11,8.37,PE,1718294598
333,duck lake,52.8168,-106.2344,59.97,75,94,8.5,CA,1718294598
334,yulinshi,38.2906,109.7494,80.58,29,100,15.14,CN,1718294598
335,uturoa,-16.7333,-151.4333,79.41,78,24,17.43,PF,1718294598
336,siuna,13.7332,-84.7773,90.07,59,50,3.51,NI,1718294598
337,leshan,29.5623,103.7639,77.36,72,100,2.59,CN,1718294599
338,st. john's,47.5649,-52.7093,64.67,79,20,31.07,CA,1718294517
339,luderitz,-26.6481,15.1594,65.17,60,0,5.3,NA,1718294599
340,yeraliyev,43.2,51.65,78.24,57,6,11.1,KZ,1718294599
341,walvis bay,-22.9575,14.5053,85.15,21,0,10.36,NA,1718294599
342,caleta de carquin,-11.0925,-77.6267,67.86,74,53,9.95,PE,1718294599
343,ionia,42.9873,-85.0711,82.85,61,0,16.11,US,1718294441
